cluster,count
0,1552
1,339
2,492
3,7086
4,30
5,6059
6,22
7,5361
8,568
9,594
10,994
11,4183
12,7561
13,4598
14,498
15,2195
16,3438
17,2855
18,3876
19,4886
20,8119
21,2265
22,2154
23,1674
24,2560
25,2955
26,6158
27,5442
28,3129
29,2858
30,6250
31,5179
32,3263
33,1123
34,6190
35,109
36,821
37,1895
38,4101
39,1259
40,5693
41,4783
42,3053
43,4519
44,454
45,4387
46,2285
47,4831
48,735
49,4744
50,1816
51,4240
52,9675
53,1687
54,5885
55,4377
56,7918
57,3312
58,946
59,6563
60,701
61,6459
62,6770
63,490
64,6432
65,798
66,7740
67,1091
68,1363
69,7121
70,536
71,2979
72,1592
73,961
74,7218
75,3490
76,8877
77,9673
78,2305
79,2929
80,299
81,4497
82,827
83,3428
84,2563
85,4692
86,4190
87,1963
88,3822
89,344
90,6017
91,5021
92,1812
93,2780
94,134
95,3348
96,5134
97,4091
98,1384
99,2030
100,3566
101,353
102,385
103,5183
104,810
105,6124
106,67
107,1638
108,436
109,1160
110,2658
111,4732
112,2047
113,7932
114,3778
115,5037
116,4829
117,2219
118,426
119,1128
120,1211
121,3533
122,4482
123,1713
124,478
125,597
126,5340
127,8207
128,823
129,1574
130,3940
131,5018
132,2018
133,158
134,208
135,3822
136,3605
137,575
138,4381
139,3869
140,2986
141,7576
142,231
143,8682
144,1882
145,4280
146,3626
147,1918
148,4266
149,1354
