,Popularity
Popularity,1.0
Good for Party,0.34226599483384873
Good for Social Gatherings,0.20144336216792397
Genre_pop,0.10839476189709893
Danceability,0.10789299156147729
Loudness (db),0.08832341598078823
Genre_trap,0.08671510330927458
Positiveness,0.08054022027776576
Genre_k-pop,0.06860079421897165
Genre_rap,0.06555051285741359
Genre_electropop,0.06090469685102768
Time signature_4/4,0.05567574706725408
Good for Exercise,0.053625055980256936
Genre_alternative rock,0.047005571750195714
Energy,0.04676717407490052
Genre_reggae,0.03918802362110848
Good for Morning Routine,0.03816802958778275
Genre_heavy metal,0.03505679892608697
Genre_rock,0.035021094852142616
Genre_dance,0.03132080444649807
Genre_synthpop,0.030037157811602648
Good for Running,0.029987633512601294
Good for Driving,0.029576318422490623
Genre_soul,0.02849560817823772
Genre_pop rock,0.027172877027156542
Genre_funk,0.027161862692395462
Genre_metal,0.023015331343176827
Genre_emo rap,0.021798003898937067
Genre_hard rock,0.018348063538366596
Genre_cloud rap,0.018082958345026306
Genre_nu metal,0.017415913771813844
Genre_trip-hop,0.01716614817215523
Genre_rnb,0.015850834109188267
Genre_electronic,0.015309773281060039
Key_C# min,0.014208403122641499
Genre_drum and bass,0.01322938621699039
Genre_classic rock,0.013046993623595848
Genre_j-pop,0.012837211777856926
Key_G min,0.012774155009873863
Genre_house,0.012588966124427026
Genre_dub,0.012114054507109367
Key_F# Maj,0.01001594542508765
emotion_love,0.009818714326973357
Key_F# min,0.009667475802658185
Genre_chillwave,0.00931054302095103
Tempo,0.009247824730920843
Key_D# min,0.00868226850981434
Genre_dancehall,0.00809606019209413
emotion_joy,0.007981192423118663
Genre_indie pop,0.006402284638708308
Genre_grunge,0.00621211266316918
Genre_swing,0.005965615324826413
Genre_country,0.005409674838475889
Genre_chillout,0.005338306599250705
Key_B min,0.005314314387803497
Genre_latin,0.005143148388920526
Genre_techno,0.005017289844685066
Explicit,0.004826515851856255
Genre_alternative,0.004777376728325727
Key_F min,0.00387492905958496
Key_E min,0.003831894208961597
Key_C min,0.0035727746687868353
Genre_blues,0.0034736825442778416
Key_B Maj,0.003308737883303335
Key_G# Maj,0.003281266613262861
Genre_thrash metal,0.003264589300547537
Genre_disco,0.0028368428407410527
Genre_new wave,0.002208633448763385
emotion_surprise,0.0019725344966157877
Key_A# Maj,0.001936519371945523
Key_A min,0.0012865219358840663
Key_A Maj,0.000994375755206963
emotion_anger,0.0009298300959074346
Genre_dubstep,0.000494312670218201
Genre_reggaeton,0.00028451734230710993
Genre_electro,0.000122965027104826
Genre_alt-country,-1.612031155017045e-06
Genre_power metal,-4.4572728027815225e-06
Genre_melodic death metal,-0.0013088872725389167
Key_G# min,-0.0013456309438374277
Genre_britpop,-0.0014356324255681199
Genre_progressive metal,-0.001981973856932612
Key_D min,-0.002254755252770132
Genre_shoegaze,-0.0030117845577945315
emotion_fear,-0.0036144528457144796
Key_E Maj,-0.0037582528938488852
Genre_pop punk,-0.0038054578850098704
Genre_acoustic,-0.003876019991757957
Key_D# Maj,-0.003977721840489988
Key_C# Maj,-0.0040949176641347715
Genre_progressive rock,-0.00452324599917706
Key_F Maj,-0.005489826064154661
Genre_metalcore,-0.006118166046755177
Genre_psychedelic,-0.006202906990077313
Genre_grime,-0.006890313801580444
Genre_industrial,-0.007218647004909325
Key_A# min,-0.0073880319976483136
Key_D Maj,-0.008478419092836554
Key_G Maj,-0.009347230118249152
Genre_gospel,-0.009358290214145217
Genre_worship,-0.009459952070561582
Genre_jazz,-0.009658161559792483
Genre_black metal,-0.009822898662710893
Genre_screamo,-0.010020036192853746
Genre_trance,-0.010076550230018862
Genre_lo-fi,-0.01048379088820352
Genre_math rock,-0.011413840653106426
Genre_christian,-0.01160170788674458
Genre_emo,-0.011649584636719086
emotion_sadness,-0.01253893064607352
Genre_classical,-0.012658197171607896
Genre_death metal,-0.01319188625430708
Genre_deathcore,-0.013445543178602554
Genre_comedy,-0.013641967478741747
Genre_indie,-0.014096265559650482
Genre_hardcore,-0.014292500362480306
Genre_doom metal,-0.014764403091183737
Genre_post-hardcore,-0.01494895764249491
Key_C Maj,-0.014959881649247237
Genre_garage rock,-0.016023667218066952
Genre_ambient,-0.016576429653610714
Genre_psychedelic rock,-0.016727872121311622
Genre_soundtrack,-0.017046261858859595
Good for Yoga/Stretching,-0.017256032874865167
Time signature_1/4,-0.017457178073031862
Genre_punk rock,-0.017774195051957313
Genre_dream pop,-0.02015208600778412
Genre_experimental,-0.021851790202609092
Genre_punk,-0.023198071098224117
Good for Relaxation/Meditation,-0.023561765319906215
Time signature_5/4,-0.025881613648882994
Genre_post-punk,-0.02620200564722692
Genre_folk,-0.028387335595741896
Genre_indie rock,-0.03100783190609036
Good for Work/Study,-0.03305045826263378
Duration_sec,-0.03666426021272612
Instrumentalness,-0.03886565272704051
Time signature_3/4,-0.044810020913518024
Genre_hip-hop,-0.04650939504019669
Liveness,-0.055606561080075015
Acousticness,-0.06117098463489714
Speechiness,-0.08039174760327918
