Feature,Importance
Good for Party,0.11551588913228823
Loudness (db),0.08993623000323442
Duration_sec,0.07227361949080803
Tempo,0.06319244904685475
Positiveness,0.06295688002423896
Danceability,0.0616686792870483
Energy,0.056656183528587034
Acousticness,0.05423358767256151
Liveness,0.05371098701819781
Speechiness,0.045224251611691656
Good for Social Gatherings,0.03779675462720688
Good for Exercise,0.020344161671554686
Instrumentalness,0.019160936407976992
Genre_pop,0.01070018453686721
Explicit,0.007262790052434812
Genre_trap,0.006223266089870201
emotion_joy,0.005595577518052006
Key_C# Maj,0.005451098765106127
Key_D Maj,0.005323967740524267
Key_C Maj,0.00522094326282979
emotion_sadness,0.005213631850515491
Genre_hip-hop,0.005056663360467176
Key_G Maj,0.0050539435398215425
emotion_anger,0.004916430294658449
Genre_rock,0.004895692478152554
Key_A Maj,0.004733059933582021
Genre_alternative rock,0.004674838196585451
Key_G# Maj,0.004585011752690398
Key_B min,0.004387477529932281
Genre_rap,0.004282835352760931
Key_E min,0.004083325324177442
Key_F# min,0.003992871440361944
Key_F# Maj,0.003969439321355281
Key_C# min,0.0038912811286185038
Key_F min,0.0038462792447737986
Key_B Maj,0.003724487486478872
Key_F Maj,0.003696991932138943
Key_A# Maj,0.0035971233981571954
emotion_love,0.0034770725114057362
Key_A min,0.0034343067444646816
Key_A# min,0.0033570663310370326
Genre_country,0.003349104876942867
Key_C min,0.003176001410079218
Key_G min,0.0031555077809694906
Key_E Maj,0.0031349391619938357
emotion_fear,0.003079986517607344
Genre_pop rock,0.0030272624808884885
Good for Morning Routine,0.0029603609094968892
Genre_soul,0.002857299427586191
Time signature_4/4,0.0026798954429055116
Genre_heavy metal,0.0025851513577108353
Good for Driving,0.0025580765539045436
Time signature_3/4,0.0025166162346392717
Genre_electronic,0.0024645459146979956
Key_G# min,0.002344792763300564
Key_D min,0.0022941987789479893
Genre_k-pop,0.002280716087678109
Genre_reggae,0.0022793567296799486
Genre_folk,0.0022739616811470894
Genre_jazz,0.0022687825820411605
Genre_electropop,0.002190759619734502
Key_D# Maj,0.0021386696088354627
Genre_indie pop,0.002122275651746173
Genre_hard rock,0.0020722323732422165
Genre_indie rock,0.0020203197063203998
Genre_metal,0.0019313378591376685
Genre_synthpop,0.0019076342975256184
Genre_blues,0.001880562753880666
Key_D# min,0.0018325549339279648
Genre_classic rock,0.0015992482300329661
Good for Work/Study,0.0015367047926605772
Genre_new wave,0.0015277862259739032
Genre_alternative,0.001490906085584592
Genre_progressive rock,0.001487324287093208
Time signature_5/4,0.0014338546816587568
Genre_classical,0.0012659813560270462
Genre_psychedelic rock,0.0011444631900895399
emotion_surprise,0.0011120565413271662
Genre_dance,0.0010958774293057757
Genre_swing,0.0010932635371489355
Genre_rnb,0.0010386971613311558
Genre_funk,0.0010195976298112664
Genre_drum and bass,0.0009635010138784096
Genre_indie,0.0009631795041790732
Time signature_1/4,0.0009331371790751308
Genre_dancehall,0.0009235083432643157
Genre_emo rap,0.0009223406086985818
Genre_gospel,0.0008870765898937596
Genre_punk,0.0008666421844170154
Genre_chillwave,0.0008183567671745312
Good for Running,0.0007823466692106519
Genre_nu metal,0.0007722808263430131
Genre_experimental,0.0007682001560391284
Genre_punk rock,0.0007387690490477858
Genre_emo,0.0007216564395176222
Genre_trance,0.0007157750254624181
Genre_cloud rap,0.0007089806297097496
Genre_soundtrack,0.0006311797034595334
Good for Relaxation/Meditation,0.0006291565569703813
Genre_house,0.0006231329778883461
Genre_ambient,0.0006123404822142723
Genre_disco,0.0005932069472585842
Genre_industrial,0.0005898770097503909
Genre_pop punk,0.0005649394543484997
Genre_lo-fi,0.0005527818572612664
Genre_trip-hop,0.0005438075310465959
Good for Yoga/Stretching,0.0005400970127975997
Genre_progressive metal,0.0004672206335508968
Genre_shoegaze,0.00046521057255723564
Genre_grunge,0.00044636334213717316
Genre_alt-country,0.00041724318837943003
Genre_post-punk,0.00040919702960450703
Genre_post-hardcore,0.0003980126993146026
Genre_acoustic,0.0003837025748742174
Genre_metalcore,0.0003828735479695446
Genre_latin,0.000350860246272427
Genre_comedy,0.00029782099830273916
Genre_britpop,0.0002902982427014336
Genre_christian,0.00027041438280094585
Genre_power metal,0.00026324072567927853
Genre_dream pop,0.00025157401899661316
Genre_techno,0.00024083816148511163
Genre_dub,0.00023948069709377916
Genre_electro,0.0002271653743192242
Genre_thrash metal,0.0002178442262070012
Genre_garage rock,0.0002175590350416652
Genre_j-pop,0.00021680307733838207
Genre_hardcore,0.0002129367657070159
Genre_black metal,0.00019515544746001202
Genre_death metal,0.00017912429920454508
Genre_grime,0.00016758332316525458
Genre_melodic death metal,0.00016596479417570277
Genre_dubstep,0.00014445047885866205
Genre_chillout,0.00011498948552382874
Genre_screamo,0.00010911948400128699
Genre_math rock,0.00010145428579607911
Genre_worship,7.52478571525264e-05
Genre_deathcore,6.36839632897536e-05
Genre_doom metal,6.06798607909933e-05
Genre_psychedelic,2.762420033430099e-05
Genre_reggaeton,1.5061176324893761e-05
